Generación,Tipo,Energía (MeV)
0,electron,572.3619847426315
0,positron,427.63801525736847
1,gamma,354.78846888331077
1,electron,217.57351585932076
1,gamma,427.63801525736847
2,electron,149.93978870036585
2,positron,204.8486801829449
2,gamma,128.14963902797928
2,electron,89.42387683134149
2,electron,153.01502737268697
2,positron,274.62298788468144
3,gamma,70.26709832723793
3,electron,79.67269037312792
3,electron,69.58594617935908
3,positron,58.5636928486202
3,gamma,50.96180210036931
3,electron,38.462074730972176
3,gamma,47.579167154951165
3,electron,105.43586021773581
4,electron,46.24763126418454
4,positron,24.01946706305339
4,gamma,38.532975512059444
4,electron,41.13971486106848
4,gamma,42.08654534669182
4,electron,27.499400832667263
4,electron,30.907958578429927
4,positron,20.053843521939385
4,gamma,11.576944323172867
4,electron,26.88513040779931
4,electron,32.683046763193246
4,positron,14.896120391757917
4,gamma,40.74338684938422
4,electron,64.69247336835159
5,gamma,17.971783048289474
5,electron,28.275848215895067
5,electron,12.845234044814525
5,positron,25.68774146724492
5,gamma,25.033581685719227
5,electron,16.10613317534925
5,electron,24.967827145596676
5,positron,17.118718201095145
5,gamma,11.658378034518677
5,electron,15.841022798148586
5,gamma,10.749093196625422
5,electron,20.158865381804503
5,electron,7.409177603089308
5,positron,4.167766720083559
5,gamma,15.691519106842255
5,electron,11.193611300957054
5,gamma,18.69309565874461
5,electron,13.989951104448636
5,electron,17.045144771003827
5,positron,23.698242078380396
5,gamma,29.96040821183956
5,electron,34.73206515651202
6,electron,10.790316844125364
6,positron,7.181466204164111
6,gamma,15.116679005964503
6,electron,13.159169209930564
6,gamma,8.197869680144628
6,electron,4.647364364669897
6,electron,12.937385112117482
6,positron,12.096196573601745
6,gamma,9.112290526783577
6,electron,6.993842648565673
6,gamma,11.15601055188584
6,electron,13.811816593710835
6,electron,4.671571205377146
6,positron,6.986806829141531
6,gamma,7.941910460172151
6,electron,7.899112337976435
6,electron,4.092569601685325
6,positron,6.656523594940097
6,gamma,14.042743961040262
6,electron,6.116121420764241
6,gamma,3.2105368595333257
6,electron,4.198640743555982
6,electron,4.861874575190451
6,positron,10.829644531651804
6,gamma,4.885480547708467
6,electron,6.308130753248586
6,electron,12.59434605925498
6,positron,6.098749599489632
6,gamma,8.750910767770616
6,electron,5.23904033667802
6,gamma,6.035017410783062
6,electron,11.010127360220764
6,electron,14.420813738547118
6,positron,15.539594473292443
6,gamma,12.096798193032074
6,electron,22.63526696347995
7,gamma,6.021491735745633
7,electron,4.7688251083797315
7,gamma,7.181466204164111
7,electron,4.6270864344296
7,positron,10.489592571534903
7,gamma,6.454248007044186
7,electron,6.704921202886378
7,electron,4.839564129079666
7,positron,3.3583055510649618
7,gamma,2.162048099588399
7,electron,2.4853162650814986
7,gamma,6.497016359355141
7,electron,6.440368752762342
7,gamma,12.096196573601745
7,electron,4.319239854039739
7,positron,4.793050672743838
7,gamma,4.610114547508354
7,electron,2.3837281010573195
7,electron,4.353789921558089
7,positron,6.802220630327751
7,gamma,4.2786146194478425
7,electron,9.533201974262994
7,gamma,1.4892127973495932
7,electron,3.1823584080275524
7,electron,3.7736588019427253
7,positron,4.168251658229426
7,gamma,4.1665092027982995
7,electron,3.7326031351781355
7,gamma,2.8207164152862534
7,electron,1.2718531863990714
7,electron,8.455526888909546
7,positron,5.587217072130717
7,gamma,4.054694612325979
7,electron,2.061426808438262
7,electron,2.1101951511386736
7,positron,1.1003417083946518
7,gamma,1.6320681403011863
7,electron,2.566572603254796
7,gamma,2.8993320175905324
7,electron,1.9625425575999187
7,electron,3.323248628573699
7,positron,1.5622319191347687
7,gamma,2.546479158157175
7,electron,3.7616515950914113
7,gamma,8.431578446270233
7,electron,4.162767612984746
7,electron,6.088575349554457
7,positron,2.6623354182161596
7,gamma,3.5556980827851805
7,electron,1.6833422538928393
7,electron,2.8444686359226647
7,positron,3.190548774860397
7,gamma,4.855215178214169
7,electron,6.154912182006595
7,gamma,9.42815519994927
7,electron,4.992658538597848
7,electron,3.865864007369595
7,positron,8.230934185662479
7,gamma,11.340647504471862
7,electron,11.294619459008088
8,electron,2.0514809476370823
8,positron,3.97001078810855
8,gamma,2.668225532237653
8,electron,2.1005995761420784
8,electron,4.981028433149028
8,positron,2.2004377710150824
8,gamma,2.796393798112831
8,electron,1.830692636316769
8,electron,1.9548355947161973
8,positron,4.499412412327989
8,gamma,3.694784232531411
8,electron,3.0101369703549667
8,gamma,1.503206888114096
8,electron,3.33635724096557
8,gamma,3.3583055510649618
8,electron,0.98152354947691
8,positron,1.1805245501114887
8,gamma,1.4491474611662827
8,electron,1.036168803915216
8,electron,2.6665919872036326
8,positron,3.830424372151508
8,gamma,2.2757699289535496
8,electron,4.164598823808792
8,electron,7.033760243657042
8,positron,5.062436329944703
8,gamma,2.639360227155322
8,electron,1.679879626884417
8,electron,1.882155452467371
8,positron,2.7279590950409824
8,gamma,1.5632022049144216
8,electron,0.8205258961428978
8,gamma,1.6415660691098946
8,electron,2.7122238524481945
8,electron,2.65700790188437
8,positron,1.6216067175634723
8,gamma,5.303247462474891
8,electron,4.229954511788103
8,electron,0.7562274987610849
8,positron,0.7329852985885084
8,gamma,1.7165667867891847
8,electron,1.4657916212383677
8,gamma,2.412343380223007
8,electron,1.361315421719718
8,electron,1.431832777516743
8,positron,2.7346764252815565
8,gamma,1.81433117752322
8,electron,1.9182719576549154
8,electron,1.708111679224604
8,positron,1.1126047360616493
8,gamma,0.4889263406438828
8,electron,0.7829268457551886
8,gamma,4.663997463540881
8,electron,3.7915294253686644
8,electron,1.9324115573970746
8,positron,2.1222830549289045
8,gamma,1.4301275412613526
8,electron,0.6312992671769095
8,gamma,1.3664428594269211
8,electron,0.7437522917117525
8,electron,1.0358771108692488
8,positron,0.5961910294319375
8,gamma,1.306062747865659
8,electron,1.2605098553891372
8,electron,0.9496397583870038
8,positron,1.9496922592035286
8,gamma,1.1817528322291917
8,electron,0.780789725370727
8,gamma,1.3114384167338147
8,electron,2.011810211839884
8,electron,1.1848688741189706
8,positron,1.3616102840382043
8,gamma,2.596468249419612
8,electron,1.1651833456717995
8,electron,3.3950207835098882
8,positron,5.036557662760345
8,gamma,1.4855189203897792
8,electron,2.677248692594967
8,gamma,2.159607753250452
8,electron,3.928967596304005
8,electron,1.8927609766987417
8,positron,1.6629371060864389
8,gamma,0.586557432479597
8,electron,1.0967848214132423
8,gamma,0.9036545376851979
8,electron,1.9408140982374669
8,electron,2.3237201513186836
8,positron,2.5314950268954854
8,gamma,3.3100370508458052
