Generacion,Tipo,Energia (MeV)
0,electron,473.8061596370163
0,positron,526.1938403629837
1,gamma,258.7033480207214
1,electron,215.1028116162949
2,electron,131.50700524061884
2,positron,127.1963427801026
2,gamma,107.48187152450627
2,electron,107.62094009178863
3,gamma,48.50177110570803
3,electron,83.00523413491081
3,electron,57.73967193003375
3,positron,49.742199594472524
3,gamma,32.71741776541901
3,electron,74.90352232636963
4,electron,22.402071588961558
4,positron,26.099699516746472
4,gamma,50.10846608474576
4,electron,32.89676805016505
4,gamma,22.652775302790133
4,electron,35.08689662724362
4,electron,13.437659456002459
4,positron,19.27975830941655
4,gamma,51.25074933133545
4,electron,23.652772995034177
5,gamma,10.958764942664585
5,electron,11.443306646296973
5,gamma,26.099699516746472
5,electron,28.12934922202473
5,positron,21.97911686272103
5,gamma,17.658053902124845
5,electron,15.238714148040206
5,electron,7.718085542284864
5,positron,14.93468976050527
5,gamma,15.319740979942166
5,electron,19.76715564730145
5,gamma,5.5485077054950835
5,electron,7.889151750507375
5,gamma,19.27975830941655
5,electron,19.081249929303027
5,positron,32.16949940203242
5,gamma,8.22079482998827
5,electron,15.431978165045907
6,electron,4.473414038885915
6,positron,6.485350903778669
6,gamma,4.780955018680049
6,electron,6.662351627616924
6,electron,8.758778179198671
6,positron,17.3409213375478
6,gamma,13.935261002361582
6,electron,14.194088219663147
6,gamma,21.97911686272103
6,electron,10.475203788180401
6,positron,7.182850113944444
6,gamma,5.59594705734906
6,electron,9.642767090691144
6,gamma,3.5425407428078195
6,electron,4.175544799477045
6,gamma,14.93468976050527
6,electron,6.353360027147611
6,positron,8.966380952794555
6,gamma,10.786211203202516
6,electron,8.980944444098935
6,electron,2.5658215960920896
6,positron,2.982686109402994
6,gamma,3.4534819600244866
6,electron,4.435669790482889
6,electron,6.514040225349518
6,positron,12.765718084067032
6,gamma,9.709791053022377
6,electron,9.37145887628065
6,electron,5.752593165602112
6,positron,2.4682016643861577
6,gamma,5.41301545519014
6,electron,10.018962709855767
7,gamma,3.0732051126920767
7,electron,1.4002089261938382
7,gamma,6.485350903778669
7,electron,2.292235627692393
7,positron,2.488719390987656
7,gamma,2.0392958366751106
7,electron,4.623055790941813
7,gamma,3.3066023413979297
7,electron,5.452175837800741
7,gamma,17.3409213375478
7,electron,9.161449476197008
7,positron,4.7738115261645735
7,gamma,8.575196223514418
7,electron,5.618891996148729
7,electron,7.911064141618479
7,positron,14.068052721102548
7,gamma,7.261712815139585
7,electron,3.213490973040816
7,gamma,7.182850113944444
7,electron,3.4364694936456965
7,positron,2.159477563703364
7,gamma,6.4592005706653675
7,electron,3.183566520025777
7,electron,1.374738573080074
7,positron,2.167802169727745
7,gamma,2.170402843910603
7,electron,2.005141955566442
7,electron,8.52355585162701
7,positron,6.411133908878259
7,gamma,2.944067586232789
7,electron,3.4092924409148218
7,gamma,8.966380952794555
7,electron,6.440363534707126
7,positron,4.34584766849539
7,gamma,6.04641379721215
7,electron,2.9345306468867847
7,gamma,1.3915470222924178
7,electron,1.1742745737996718
7,gamma,2.982686109402994
7,electron,1.0866391881248714
7,positron,2.366842771899615
7,gamma,2.205610640788819
7,electron,2.23005914969407
7,gamma,4.074385164700353
7,electron,2.439655060649165
7,electron,4.85041274046945
7,positron,4.859378312552927
7,gamma,2.8612017973302786
7,electron,6.510257078950372
7,gamma,3.90230167177345
7,electron,1.8502914938286614
7,gamma,2.4682016643861577
7,electron,1.7238840473615473
7,positron,3.6891314078285933
7,gamma,3.3072907849359474
7,electron,6.71167192491982
8,electron,1.722017790571392
8,positron,1.3511873221206847
8,gamma,0.7064999207631986
